session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5f1da35d2ce1e6067b9fdc2a,5edfb48e375a0d2a740a02c3,APPROVED,2020-07-26 15:38:32,2020-07-26 15:46:47,494.436,25,18,0,100,2020-07-29 14:31:16,6D154BBD,Portugal,Portugal,,Portuguese,"English, Portuguese",Portugal,Female,No
5f1da35f47b7402a4ad81fb2,5d77bc0a4503c30001c724b8,APPROVED,2020-07-26 15:38:09,2020-07-26 15:54:28,978.385,20,37,0,100,2020-07-29 14:31:18,6D154BBD,Greece,Greece,Other,Greek,"Greek, English",Greece,Male,Yes
5f1da36046999b6dfecabb0a,58962e76215bed0001e4f624,APPROVED,2020-07-26 15:38:12,2020-07-26 15:44:33,380.842,28,72,1,100,2020-07-29 14:31:21,6D154BBD,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5f1da37017f6226e9caf14ed,5c4a032ad5ef870001461898,APPROVED,2020-07-26 15:38:25,2020-07-26 15:53:52,927.172,29,180,0,100,2020-07-29 14:31:23,6D154BBD,Latvia,Latvia,Other,Latvian,"Latvian, English, Russian",Latvia,Male,No
5f1da37298d3b36f9dea1cb9,5f08b23ac6db570fef276d2e,APPROVED,2020-07-26 15:38:29,2020-07-26 15:45:53,444.077,26,9,0,100,2020-07-29 14:31:25,6D154BBD,"Venezuela, Bolivarian Republic of",Spain,Full-Time,Spanish,"English, Spanish",Spain,Male,Yes
5f1da37502bd3901388e3009,5d27099998385500190c5f68,REJECTED,2020-07-26 15:38:34,2020-07-26 15:41:02,148.1,20,51,2,96,2020-07-29 14:04:54,6D154BBD,DATA EXPIRED,Poland,DATA EXPIRED,DATA EXPIRED,English,DATA EXPIRED,Male,DATA EXPIRED
5f1da378441e276e675a98cd,5cab8f50c7c413001598d8d6,APPROVED,2020-07-26 15:38:37,2020-07-26 15:42:26,229.246,25,219,2,100,2020-07-29 14:31:27,6D154BBD,Italy,Italy,Part-Time,Italian,"English, Italian",Italy,Female,Yes
5f1da37869a9d1031a30401b,5f010df64a92a525dd96809b,REJECTED,2020-07-26 15:38:40,2020-07-26 15:41:21,161.561,18,6,1,94,2020-07-29 14:03:56,6D154BBD,Italy,Italy,Other,Italian,"English, Italian",Italy,Male,Yes
5f1da37e6f7d7f6e3a703ce3,5e5f0f0da2255725069e61cc,APPROVED,2020-07-26 15:38:38,2020-07-26 15:43:00,261.468,28,90,0,100,2020-07-29 14:31:30,6D154BBD,United Kingdom,Canada,Full-Time,English,"English, French",Canada,Female,Yes
5f1da37edb768903075bce4f,5e618514ab46f20809f2f630,APPROVED,2020-07-26 15:38:42,2020-07-26 15:42:47,245.489,26,9,0,100,2020-07-29 14:31:32,6D154BBD,Italy,Italy,Due to start a new job within the next month,Italian,"English, French, German, Italian, Korean",Italy,Female,No
